codigoUc;mesReferencia;valorFatura;dataPagamento;banco
3090813408;01/04/2026;2.050,98;15/05/2026;C6_BANK
3090585491;01/03/2026;2.471,53;15/05/2026;C6_BANK
3090585491;01/04/2026;2.529,58;15/05/2026;C6_BANK
4004082808;01/03/2026;1.001,66;18/05/2026;C6_BANK
3095562977;01/04/2026;457,39;18/05/2026;C6_BANK
3082099467;01/04/2026;199,36;18/05/2026;C6_BANK
3090813408;01/05/2026;1.650,82;19/05/2026;C6_BANK
3090582291;01/03/2026;807,08;19/05/2026;C6_BANK
3090582291;01/04/2026;1.007,05;19/05/2026;C6_BANK
3095134910;01/04/2026;9.263,52;20/05/2026;C6_BANK
3095400749;01/04/2026;3.981,72;20/05/2026;C6_BANK
3095418009;01/03/2026;450,42;20/05/2026;C6_BANK
3092362633;01/04/2026;138,42;21/05/2026;C6_BANK
3090585494;01/04/2026;1.035,99;21/05/2026;C6_BANK
3095400731;01/04/2026;931,87;21/05/2026;C6_BANK
4003817265;01/03/2026;234,13;21/05/2026;C6_BANK
3090623032;01/04/2026;801,39;21/05/2026;C6_BANK
3093257025;01/04/2026;703,67;21/05/2026;C6_BANK
3095378896;01/03/2026;282,76;21/05/2026;C6_BANK
3095677733;01/04/2026;8.725,54;25/05/2026;C6_BANK
3095752769;01/03/2026;4.259,83;25/05/2026;C6_BANK
4003250772;01/04/2026;427,56;28/05/2026;C6_BANK
4003034737;01/03/2026;819,03;27/05/2026;C6_BANK
4003250772;01/05/2026;253,33;28/05/2026;C6_BANK
