codigoUc;mesReferencia;valorFatura;dataPagamento;banco
3090585494;01/12/2024;3.004,20;16/01/2025;C6_BANK
3090783930;01/12/2024;2.487,29;18/01/2025;C6_BANK
3095400731;01/01/2025;942,61;14/02/2025;C6_BANK
3091314655;01/01/2025;19.436,95;14/02/2025;C6_BANK
3095150950;01/01/2025;602,5;14/02/2025;C6_BANK
3092608534;01/01/2025;354,56;14/02/2025;C6_BANK
3092707047;01/01/2025;715,21;14/02/2025;C6_BANK
3090657453;01/01/2025;1.533,90;17/02/2025;C6_BANK
3090623032;01/01/2025;940,61;25/02/2025;C6_BANK
3092607662;01/01/2025;2.330,97;25/02/2025;C6_BANK
3090582291;01/01/2025;983,1;25/02/2025;C6_BANK
3090656985;01/01/2025;860,08;25/02/2025;C6_BANK
3090585494;01/01/2025;2.719,40;25/02/2025;C6_BANK
4002435906;01/01/2025;433,05;25/02/2025;C6_BANK
3095677733;01/02/2025;10.570,90;28/02/2025;C6_BANK
3090623032;01/02/2025;1.148,70;06/03/2025;C6_BANK
3090657453;01/02/2025;1.909,37;06/03/2025;C6_BANK
3092571658;01/01/2025;501,69;06/03/2025;C6_BANK
3092571658;01/02/2025;422,02;06/03/2025;C6_BANK
3095156869;01/01/2025;3.474,53;06/03/2025;C6_BANK
4003327541;01/01/2025;1.438,97;06/03/2025;C6_BANK
4003327541;01/02/2025;1.624,70;06/03/2025;C6_BANK
4003327542;01/01/2025;170,99;06/03/2025;C6_BANK
4003327542;01/02/2025;307,25;06/03/2025;C6_BANK
3095046800;01/01/2025;2.064,93;06/03/2025;C6_BANK
4003327543;01/01/2025;784,46;06/03/2025;C6_BANK
4003327543;01/02/2025;1.270,43;06/03/2025;C6_BANK
3090691461;01/02/2025;1.576,15;13/03/2025;C6_BANK
3090582291;01/02/2025;1.461,84;13/03/2025;C6_BANK
4002435906;01/02/2025;580,01;13/03/2025;C6_BANK
4003514072;01/03/2026;1.408,46;13/03/2025;C6_BANK
3095194198;01/02/2025;3.422,41;13/03/2025;C6_BANK
3090656985;01/02/2025;1.094,67;13/03/2025;C6_BANK
3090693847;01/01/2025;2.984,86;20/03/2025;C6_BANK
3091314655;01/02/2025;20.739,39;20/03/2025;C6_BANK
3093262301;01/01/2025;786,99;24/03/2025;C6_BANK
3093257025;01/01/2025;671,79;24/03/2025;C6_BANK
3095150950;01/02/2025;732,13;24/03/2025;C6_BANK
3092608534;01/02/2025;491,27;24/03/2025;C6_BANK
3092707047;01/02/2025;855,45;24/03/2025;C6_BANK
3095677733;01/03/2025;9.839,53;27/03/2025;C6_BANK
